[week1] 鏈嶅姟宸插惎鍔? http://127.0.0.1:8000
[week1] 鏁版嵁搴? D:\aijiaohu\week1\data\readings.db
[week1] 鏈洿鏂伴槇鍊? 5.0 绉?
[week1] 鎽勫儚澶翠腑杞? http://127.0.0.1:8000/api/camera锛堟棤闇€鐭ラ亾鏉垮瓙 IP锛?
[week1] Ctrl+C 鍋滄
python.exe : 127.0.0.1 - - [14/Sep/2026 16:34:00] "GET /api/camera/status?nocache=1789374838685 HTTP/1.1" 200 -
所在位置 行:449 字符: 1
+ & "C:\Users\user\.workbuddy\binaries\python\versions\3.13.12\python.e ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (127.0.0.1 - - [...HTTP/1.1" 200 -:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
10.1.41.160 - - [14/Sep/2026 16:34:15] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:15] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:15] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:15] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:15] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:16] "GET /api/camera/status?nocache=1789374856689 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:16] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:16] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:16] "GET /api/camera/status?nocache=1789374856767 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:17] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:17] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:17] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:17] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:17] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:17] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:17] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:18] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:18] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:18] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:18] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:18] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:19] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:19] "GET /api/camera/status?nocache=1789374859681 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:19] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:19] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:19] "GET /api/camera/status?nocache=1789374859769 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:19] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:19] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:20] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:20] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:20] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:20] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:20] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:21] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:21] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:21] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:21] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:21] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:22] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:22] "GET /api/camera/status?nocache=1789374862679 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:22] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:22] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:22] "GET /api/camera/status?nocache=1789374862767 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:22] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:22] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:23] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:23] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:23] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:23] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:23] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:24] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:24] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:24] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:24] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:24] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:25] "GET /api/camera/status?nocache=1789374865677 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:25] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:25] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:25] "GET /api/camera/status?nocache=1789374865772 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:25] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:25] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:25] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:26] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:26] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:26] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:26] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:27] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:27] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:27] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:27] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:27] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:28] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:28] "GET /api/camera/status?nocache=1789374868686 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:28] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:28] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:28] "GET /api/camera/status?nocache=1789374868765 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:28] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:28] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:29] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:29] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:29] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:29] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:29] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:30] "GET /api/devices HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:30] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:30] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:30] "GET /api/camera?nocache=1789374870148 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:30] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:30] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:30] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:31] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:31] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:31] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:31] "GET /api/camera/status?nocache=1789374871686 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:31] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:31] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:32] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:32] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:32] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:32] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:32] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:33] "GET /api/camera/status?nocache=1789374873152 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:33] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:33] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:33] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:33] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:33] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:34] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:34] "GET /api/history?limit=60 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:34] "GET /api/camera/status?nocache=1789374874678 HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:34] "GET /api/latest HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:34] "GET /api/history?limit=60 HTTP/1.1" 200 -
10.1.41.160 - - [14/Sep/2026 16:34:34] "POST /api/data HTTP/1.1" 200 -
127.0.0.1 - - [14/Sep/2026 16:34:35] "GET /api/latest HTTP/1.1" 200 -
